,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,Ushuaia,75,AR,1578433319,81,-54.81,-68.31,51.8,9.17
1,Sindor,100,RU,1578433469,95,62.87,51.9,16.03,6.15
2,New Norfolk,40,AU,1578433206,77,-42.78,147.06,68.0,4.7
3,Owando,60,CG,1578433472,50,-0.49,15.91,81.45,2.53
4,Aklavik,5,CA,1578433002,65,68.22,-135.01,-31.0,5.84
5,Atuona,1,PF,1578433388,74,-9.8,-139.03,81.09,12.12
6,Kirakira,100,SB,1578433475,87,-10.46,161.92,78.55,7.65
7,Lebu,100,ET,1578433019,94,8.96,38.73,53.76,1.68
8,Sao Joao da Barra,20,BR,1578433274,78,-21.64,-41.05,82.4,16.11
9,Hilo,90,US,1578433344,65,19.71,-155.08,78.8,17.22
10,Cape Town,20,ZA,1578432729,94,-33.93,18.42,70.0,8.05
11,Belmonte,0,PT,1578433480,85,40.36,-7.35,44.01,1.66
12,Ambur,85,IN,1578433481,92,12.79,78.72,65.37,7.23
13,Nikolskoye,90,RU,1578433200,80,59.7,30.79,39.2,6.71
14,Astoria,90,US,1578433245,81,46.19,-123.83,51.8,18.34
15,Busselton,26,AU,1578433222,60,-33.64,115.35,62.01,4.45
16,Matagami,20,NG,1578433485,29,9.67,8.4,73.65,6.55
17,Shymkent,90,KZ,1578433486,100,42.31,69.59,23.0,3.27
18,Hithadhoo,96,MV,1578433116,75,-0.6,73.08,83.48,12.53
19,Fort Saint James,100,CA,1578433282,93,54.43,-124.25,12.16,3.76
20,Saint George,20,GR,1578433350,59,39.45,22.34,37.99,8.05
21,Hobyo,98,SO,1578433492,79,5.35,48.53,77.92,14.45
22,Tiksi,93,RU,1578433493,89,71.64,128.87,-9.85,4.47
23,Strezhevoy,61,RU,1578433494,84,60.73,77.6,1.4,6.71
24,Bathsheba,40,BB,1578433410,65,13.22,-59.52,80.6,14.99
25,Tabou,0,CI,1578433496,84,4.42,-7.36,75.6,3.65
26,Quang Ngai,100,VN,1578433497,85,15.12,108.8,74.05,8.37
27,Along,100,IN,1578433498,70,28.17,94.8,48.85,3.71
28,Albany,90,US,1578433165,63,42.65,-73.75,36.0,3.24
29,Flinders,75,AU,1578433156,68,-34.58,150.85,72.0,11.41
30,Belle Fourche,40,US,1578433502,62,44.67,-103.85,39.0,5.82
31,Norman Wells,5,CA,1578433503,72,65.28,-126.83,-41.8,1.63
32,Concepcion del Uruguay,0,AR,1578433504,32,-32.48,-58.24,84.99,1.01
33,Tralee,100,US,1578433505,86,37.56,-81.4,37.4,9.28
34,Faya,40,SA,1578433221,87,18.39,42.45,59.0,11.41
35,Port Alfred,100,ZA,1578433003,97,-33.59,26.89,68.0,16.46
36,Rikitea,0,PF,1578433148,79,-23.12,-134.97,77.29,18.25
37,Thunder Bay,75,CA,1578433445,61,48.41,-89.26,12.2,17.22
38,Shouguang,19,CN,1578433510,80,36.88,118.73,25.47,7.78
39,Qaanaaq,29,GL,1578433157,91,77.48,-69.36,-24.79,1.99
40,Puerto Ayora,40,EC,1578432991,69,-0.74,-90.35,82.4,9.17
41,Burgstadt,52,DE,1578433513,88,50.92,12.82,37.99,9.17
42,Airai,73,TL,1578432985,78,-8.93,125.41,66.96,4.29
43,Mount Gambier,78,AU,1578433515,100,-37.83,140.78,57.2,6.93
44,Faanui,10,PF,1578433517,80,-16.48,-151.75,81.57,17.98
45,Punta Arenas,85,CL,1578433191,38,-53.16,-70.91,60.8,17.22
46,Iqaluit,90,CA,1578433353,62,63.75,-68.52,-16.6,17.22
47,Carnarvon,100,ZA,1578433520,77,-30.97,22.13,66.69,12.06
48,Barrow,0,AR,1578432992,25,-38.31,-60.23,82.62,3.76
49,Mataura,92,NZ,1578433147,73,-46.19,168.86,55.99,5.99
50,Van,20,TR,1578433523,73,38.51,43.37,23.0,5.82
51,Victoria,75,BN,1578432996,88,5.28,115.24,80.6,1.12
52,Kavieng,90,PG,1578433256,80,-2.57,150.8,82.45,9.35
53,Luderitz,54,NA,1578433192,88,-26.65,15.16,64.4,10.29
54,Ribeira Grande,20,PT,1578433452,93,38.52,-28.7,64.4,9.17
55,Lompoc,1,US,1578433175,30,34.64,-120.46,71.01,9.17
56,Ternate,75,PH,1578433530,88,14.29,120.72,77.0,3.36
57,Cabo San Lucas,5,MX,1578433175,57,22.89,-109.91,82.0,10.29
58,College,90,US,1578433532,67,64.86,-147.8,-23.01,1.74
59,Butaritari,67,KI,1578433535,77,3.07,172.79,84.85,17.45
60,Vila Velha,40,BR,1578432962,70,-3.71,-38.6,86.0,5.82
61,Freeport,75,BS,1578433538,60,26.54,-78.7,73.4,3.36
62,Port Blair,75,IN,1578433539,77,11.67,92.75,79.48,11.9
63,Ardatov,38,RU,1578433540,95,55.24,43.1,16.99,5.53
64,Puerto Asis,20,CO,1578433541,55,0.51,-76.5,89.6,5.82
65,Hanyang,71,CN,1578433542,84,32.14,105.51,39.99,2.39
66,Kodiak,1,US,1578433341,37,39.95,-94.76,53.01,23.04
67,Udomlya,100,RU,1578433545,96,57.88,35.0,32.56,8.86
68,Arraial do Cabo,20,BR,1578432989,78,-22.97,-42.02,91.4,11.41
69,Quatre Cocos,75,MU,1578433548,88,-20.21,57.76,79.0,1.12
70,Taitung,0,TW,1578433549,76,22.76,121.15,48.92,2.01
71,Yellowknife,75,CA,1578433089,73,62.45,-114.38,-29.0,4.7
72,Port Lincoln,0,AU,1578433243,69,-34.72,135.86,66.83,6.04
73,Severo-Yeniseyskiy,84,RU,1578433552,96,60.37,93.04,6.26,4.12
74,Mehamn,75,NO,1578433553,95,71.03,27.85,35.6,11.41
75,Kondinskoye,44,RU,1578433554,95,59.65,67.41,1.09,6.85
76,Shubarkuduk,93,KZ,1578433555,98,49.15,56.49,13.06,3.0
77,Ilhabela,77,BR,1578433556,74,-23.78,-45.36,83.44,13.76
78,Tasiilaq,100,GL,1578433072,75,65.61,-37.64,8.82,28.14
79,Ulagan,61,RU,1578433558,71,50.63,87.96,-2.79,2.35
80,Avarua,36,CK,1578432985,78,-21.21,-159.78,82.4,9.17
81,Phanat Nikhom,12,TH,1578433561,88,13.45,101.18,84.0,3.36
82,Samana,20,EC,1578433563,55,0.12,-76.97,89.6,5.82
83,Pevek,0,RU,1578433564,76,69.7,170.27,-8.5,13.35
84,Kapaa,75,US,1578433155,78,22.08,-159.32,80.6,20.8
85,Bereda,75,ES,1578433567,93,43.27,-7.54,57.0,3.36
86,Portland,90,US,1578433328,59,43.66,-70.25,35.01,10.09
87,Mujiayingzi,0,CN,1578433569,59,42.12,118.78,15.01,14.65
88,Nesna,75,NO,1578433570,86,66.2,13.02,41.0,10.29
89,Athboy,75,IE,1578433571,71,53.62,-6.92,53.01,20.8
90,Rawson,26,AR,1578433139,38,-43.3,-65.11,74.1,11.63
91,Mandalgovi,3,MN,1578433574,73,45.76,106.27,1.87,4.27
92,Poso,100,ID,1578433575,90,-1.4,120.75,67.89,0.63
93,Souillac,90,FR,1578433576,100,45.6,-0.6,52.0,4.7
